Supplier Name,Zip Code,Department,Amount
US BANK,55170,Not Defined,1200000.00
VERIZON,75266,Police,1869.45
WEST GROUP,60197,Police,292.00
Not Applicable,,Not Defined,4471778.30
10914 GEORGIA AVENUE LLC,20814,Housing and Community Affairs,5000000.00
1109 SPRING HOLDINGS LLC,21279,Non-Departmental Accounts,8048.30
1109 SPRING HOLDINGS LLC,21279,Transportation,53289.64
1335 PICCARD LLC,22192,Non-Departmental Accounts,678950.32
1ST CHOICE STAFFING LLC,20910,Board of Elections,28785.42
1ST CHOICE STAFFING LLC,20910,Consumer Protection,27819.90
1ST CHOICE STAFFING LLC,20910,Correction and Rehabilitation,30394.69
1ST CHOICE STAFFING LLC,20910,County Executive,19305.58
1ST CHOICE STAFFING LLC,20910,Environmental Protection,78352.64
1ST CHOICE STAFFING LLC,20910,Finance,20362.01
1ST CHOICE STAFFING LLC,20910,General Services,107678.70
1ST CHOICE STAFFING LLC,20910,Health and Human Services,388101.19
1ST CHOICE STAFFING LLC,20910,Human Resources,95598.15
1ST CHOICE STAFFING LLC,20910,Permitting Services,328810.35
1ST CHOICE STAFFING LLC,20910,Police,16083.62
1ST CHOICE STAFFING LLC,20910,Public Information,108600.62
1ST CHOICE STAFFING LLC,20910,Technology Services,62327.85
1ST CHOICE STAFFING LLC,20910,Transportation,172165.15
1ST CHOICE STAFFING LLC,20910,Zoning and Administrative Hearings,6029.38
2011 COUNTIES LLC,21282,Not Defined,50681.16
3M COMPANY,15250,Not Defined,62179.83
3M COMPANY,15250,Public Libraries,475.00
3M COMPANY,15250,Transportation,1325.32
3M COMPANY,55144,Not Defined,2014.92
3M ELECTRONIC MONITORING INC,33556,Correction and Rehabilitation,167779.50
4848 CORDELL AVE PARTNERS,20814,Non-Departmental Accounts,202866.66
911 ETC INC,85338,Non-Departmental Accounts,36454.95
A HARDY USA LTD,60018,Liquor Control,59110.10
A MORTON THOMAS & ASSOCIATES INC,20852,Environmental Protection,224381.35
A MORTON THOMAS & ASSOCIATES INC,20852,General Services,1504.00
A MORTON THOMAS & ASSOCIATES INC,20852,Transportation,143922.50
A VINTNERS SELECTIONS,23005,Liquor Control,3905910.92
A WIDER CIRCLE INC,20814,Environmental Protection,25000.00
A WIDER CIRCLE INC,20814,Health and Human Services,14827.77
A WIDER CIRCLE INC,20814,Housing and Community Affairs,56.72
A WIDER CIRCLE INC,20814,Non-Departmental Accounts,94181.92
AAA COMPLETE BUILDING SERVICES INC,20007,General Services,20941.04
AAA COMPLETE BUILDING SERVICES INC,20007,Liquor Control,8998.92
AAA COMPLETE BUILDING SERVICES INC,21297,Emergency Management and Homeland Security,66490.47
AAA COMPLETE BUILDING SERVICES INC,21297,Fire and Rescue Service,12987.31
AAA COMPLETE BUILDING SERVICES INC,21297,General Services,1214491.43
AAA COMPLETE BUILDING SERVICES INC,21297,Liquor Control,60751.15
AAA COMPLETE BUILDING SERVICES INC,21297,Non-Departmental Accounts,42954.56
AAA COMPLETE BUILDING SERVICES INC,21297,Not Defined,402664.56
AAA COMPLETE BUILDING SERVICES INC,21297,Transportation,63767.23
AARDVARK SWIM & SPORT INC,20151,Recreation,26737.45
AARONSON & AARONSON,20816,Liquor Control,138810.88
ABACUS N BYTES,20855,Community Engagement Cluster,500.00
ABACUS N BYTES,20855,Community Use of Public Facilities,150.00
ABACUS N BYTES,20855,Correction and Rehabilitation,200.00
ABACUS N BYTES,20855,County Council,300.00
ABACUS N BYTES,20855,Environmental Protection,375.00
ABACUS N BYTES,20855,General Services,150.00
ABACUS N BYTES,20855,Health and Human Services,40613.87
ABACUS N BYTES,20855,Housing and Community Affairs,300.00
ABACUS N BYTES,20855,Human Resources,5997.92
ABACUS N BYTES,20855,Police,6267.58
ABACUS N BYTES,20855,Recreation,17880.48
ABACUS N BYTES,20855,Sheriff,5394.24
ABC SCHOLAR,20853,Health and Human Services,271.00
ABC SCHOLAR,20904,Health and Human Services,54376.00
ABSOLUTE AQUATICS / LAWN SERVICES,20874,General Services,32395.00
AC ACQUISITIONS LLC DBA RADIO AMERICA 1540AM,20902,Finance,40000.00
AC ACQUISITIONS LLC DBA RADIO AMERICA 1540AM,20902,Fire and Rescue Service,7550.00
AC ACQUISITIONS LLC DBA RADIO AMERICA 1540AM,20902,Housing and Community Affairs,2000.00
AC ACQUISITIONS LLC DBA RADIO AMERICA 1540AM,20902,Police,2400.00
AC ACQUISITIONS LLC DBA RADIO AMERICA 1540AM,20902,Public Information,9227.00
ACS STATE & LOCAL SOLUTIONS INC,75320,Police,2765694.07
ACS TRANSPORT SOLUTIONS INC,75320,Transportation,833664.28
ACTION TAXICAB INC,20855,Transportation,616194.94
ACTION TAXICAB INC,20877,Transportation,344523.93
ADP BENEFIT SERVICES OF KY INC.,2284,Human Resources,26022.00
ADP BENEFIT SERVICES OF KY INC.,40299,Human Resources,308702.46
ADP BENEFIT SERVICES OF KY INC.,40299,Not Defined,152044.88
ADVANCED COMPUTER CONCEPTS,22102,Board of Elections,1571.85
ADVANCED COMPUTER CONCEPTS,22102,Circuit Court,4513.50
ADVANCED COMPUTER CONCEPTS,22102,Community Use of Public Facilities,208.95
ADVANCED COMPUTER CONCEPTS,22102,County Attorney,5283.62
ADVANCED COMPUTER CONCEPTS,22102,County Council,5818.84
ADVANCED COMPUTER CONCEPTS,22102,Emergency Management and Homeland Security,5825.94
ADVANCED COMPUTER CONCEPTS,22102,Environmental Protection,711.00
ADVANCED COMPUTER CONCEPTS,22102,Finance,7642.95
ADVANCED COMPUTER CONCEPTS,22102,Fire and Rescue Service,49981.24
ADVANCED COMPUTER CONCEPTS,22102,General Services,98389.68
ADVANCED COMPUTER CONCEPTS,22102,Health and Human Services,420494.15
ADVANCED COMPUTER CONCEPTS,22102,Housing and Community Affairs,4133.85
ADVANCED COMPUTER CONCEPTS,22102,Human Resources,1884.75
ADVANCED COMPUTER CONCEPTS,22102,Liquor Control,945.97
ADVANCED COMPUTER CONCEPTS,22102,Non-Departmental Accounts,97126.13
ADVANCED COMPUTER CONCEPTS,22102,Not Defined,325580.48
ADVANCED COMPUTER CONCEPTS,22102,Permitting Services,125171.97
ADVANCED COMPUTER CONCEPTS,22102,Police,80262.32
ADVANCED COMPUTER CONCEPTS,22102,Public Libraries,187.50
ADVANCED COMPUTER CONCEPTS,22102,Recreation,612.15
ADVANCED COMPUTER CONCEPTS,22102,Sheriff,189.40
ADVANCED COMPUTER CONCEPTS,22102,State's Attorney,1529.00
ADVANCED COMPUTER CONCEPTS,22102,Technology Services,4079663.38
ADVANCED COMPUTER CONCEPTS,22102,Transportation,13448.79
ADVANCED HOME SUPPORT INC,20852,Health and Human Services,222297.00
ADVANCED PUBLIC SAFETY,33441,Police,26057.16
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Environmental Protection,129480.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Finance,115498.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Fire and Rescue Service,63900.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,General Services,134025.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Health and Human Services,898842.50
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Human Resources,140620.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Non-Departmental Accounts,42240.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Police,447990.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Technology Services,4497326.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Transportation,33960.00
ADVENTIST HEALTH CARE INC,20850,Correction and Rehabilitation,481347.53
ADVENTIST HEALTH CARE INC,20850,Health and Human Services,51261.32
ADVENTIST HEALTH CARE INC,20878,Health and Human Services,4215.00
ADVENTIST HEALTH CARE INC,21264,Correction and Rehabilitation,28032.52
ADVENTIST HEALTHCARE INC,20850,Health and Human Services,615034.29
ADVENTIST HEALTHCARE INC,20878,Health and Human Services,1125.00
AECOM SERVICES INC,60674,General Services,691283.15
AEGIS SECURITY INSURANCE COMPANY,17110,Transportation,319320.86
AERC HAMPTON POINT INC,20904,Health and Human Services,23510.00
AERC HAMPTON POINT INC,20904,Housing and Community Affairs,16660.00
AETNA,6156,Human Resources,15682.50
AETNA,6156,Non-Departmental Accounts,31525.38
AFFILIATED SANTE GROUP,20904,Health and Human Services,410597.71
AFRICAN IMMIGRANT AND REFUGEE FOUNDATION INC,20901,Health and Human Services,20053.95
AFRICAN IMMIGRANT AND REFUGEE FOUNDATION INC,20901,Non-Departmental Accounts,6998.93
AFRICAN WOMENS CANCER AWARENESS ASSOCIATION,20910,Housing and Community Affairs,39724.53
AHC INC,22201,Housing and Community Affairs,309079.97
AHMED Y HESHMAT MD,20850,Correction and Rehabilitation,414.99
AHMED Y HESHMAT MD,20855,Correction and Rehabilitation,33501.02
AIKO IMPORTERS INC,29464,Liquor Control,37280.07
AIR CLEANING TECHNOLOGIES,22304,Fire and Rescue Service,32579.74
AIR CLEANING TECHNOLOGIES,22304,General Services,2171.00
AIR SCHOTT,20041,Liquor Control,1186300.79
AIRECO SUPPLY INC,20763,General Services,39304.62
AIRECO SUPPLY INC,20763,Not Defined,49131.39
AIRGAS EAST INC,3079,General Services,8342.97
AIRGAS EAST INC,3079,Not Defined,8498.11
AIRGAS EAST INC,19182,Fire and Rescue Service,18737.48
AIRGAS EAST INC,19182,General Services,4956.06
AIRGAS EAST INC,19182,Not Defined,2752.82
AIRPARK TOWING LLC,20877,Police,32315.00
AIRPARK TOWING LLC,20878,Police,96.00
AKJ TOWING,20850,Police,37369.00
ALAIN D CAPPELUTI,20878,Finance,39974.58
ALAN K BENNETT,20854,State's Attorney,50003.20
ALAN TYE & ASSOCIATES LC,22031,General Services,143708.88
ALBOURNE AMERICA LLC,94111,Non-Departmental Accounts,95555.55
ALLEN INDUSTRIES,21783,Technology Services,30000.00
ALLIANCE FOR WORKPLACE EXCELLENCE,20818,Human Resources,1275.00
ALLIANCE FOR WORKPLACE EXCELLENCE,20818,Non-Departmental Accounts,23800.00
ALLIANT INSURANCE SERVICES INC,92660,Finance,416763.00
ALLIANT INSURANCE SERVICES INC,92660,Fire and Rescue Service,1717487.90
ALLIED RENTALS,20705,Community Engagement Cluster,12177.75
ALLIED RENTALS,20814,Community Engagement Cluster,18787.00
ALLIED TRAILER SALES & RE,20763,General Services,21920.00
ALLIED TRAILER SALES & RE,20763,Not Defined,2730.00
ALLIED TRAILER SALES & RE,20763,Transportation,13200.00
ALLIEDBARTON SECURITY SERVICES LLC,19182,Community Use of Public Facilities,88059.10
ALLIEDBARTON SECURITY SERVICES LLC,19182,County Executive,385.12
ALLIEDBARTON SECURITY SERVICES LLC,19182,Environmental Protection,2467.38
ALLIEDBARTON SECURITY SERVICES LLC,19182,Finance,792.76
ALLIEDBARTON SECURITY SERVICES LLC,19182,General Services,2660.44
ALLIEDBARTON SECURITY SERVICES LLC,19182,Health and Human Services,92477.19
ALLIEDBARTON SECURITY SERVICES LLC,19182,Human Resources,2256.95
ALLIEDBARTON SECURITY SERVICES LLC,19182,Liquor Control,35908.12
ALLIEDBARTON SECURITY SERVICES LLC,19182,Permitting Services,10272.74
ALLIEDBARTON SECURITY SERVICES LLC,19182,Police,548585.94
ALLIEDBARTON SECURITY SERVICES LLC,19182,Sheriff,763244.22
ALPHA CONSTRUCTION & ENGINEERING CORPORATION,20166,Transportation,618418.58
