Supplier Name,Zip Code,Department,Amount
EEPEX INC,20817,Finance,9315.00
G&C GULF INC,20850,Transportation,190.00
1109 SPRING HOLDINGS LLC,21279,Non-Departmental Accounts,40241.50
1109 SPRING HOLDINGS LLC,21279,Transportation,26122.38
1335 PICCARD LLC,22192,Non-Departmental Accounts,661341.49
15498-15508 OLD COLUMBIA PIKE PARTNERSHIP,20814,Housing and Community Affairs,200000.00
1ST CHOICE STAFFING AGENCY,20910,Board of Elections,9413.89
1ST CHOICE STAFFING AGENCY,20910,Non-Departmental Accounts,14647.50
1ST CHOICE STAFFING AGENCY,20910,Transportation,1669.26
1ST CHOICE STAFFING LLC,20910,Correction and Rehabilitation,6395.60
1ST CHOICE STAFFING LLC,20910,County Executive,5226.86
1ST CHOICE STAFFING LLC,20910,Environmental Protection,17064.92
1ST CHOICE STAFFING LLC,20910,Ethics Commission,3547.32
1ST CHOICE STAFFING LLC,20910,General Services,2368.78
1ST CHOICE STAFFING LLC,20910,Health and Human Services,12515.67
1ST CHOICE STAFFING LLC,20910,Permitting Services,7516.87
1ST CHOICE STAFFING LLC,20910,Technology Services,3047.18
1ST CHOICE STAFFING LLC,20910,Transportation,11215.40
2011 COUNTIES LLC,21208,Not Defined,694609.30
2011 COUNTIES LLC,21282,Not Defined,108376.93
3M COMPANY,15250,Not Defined,66708.95
3M COMPANY,55144,Not Defined,1601.10
3M ELECTRONIC MONITORING INC,33556,Correction and Rehabilitation,98004.00
4848 CORDELL AVE PARTNERS,20814,General Services,2300.00
4848 CORDELL AVE PARTNERS,20814,Non-Departmental Accounts,195206.12
911 ETC INC,85338,Non-Departmental Accounts,12001.80
911 ETC INC,98290,Non-Departmental Accounts,24203.60
A HARDY USA LTD,60018,Liquor Control,61682.29
A MORTON THOMAS & ASSOCIATES INC,20852,Environmental Protection,84025.30
A MORTON THOMAS & ASSOCIATES INC,20852,Transportation,20180.91
A VINTNERS SELECTIONS,23005,Liquor Control,3484412.26
A W BENNETT ENTERPRISES INC,97402,Fire and Rescue Service,69273.00
A WIDER CIRCLE INC,20814,Environmental Protection,25000.00
A WIDER CIRCLE INC,20814,Health and Human Services,14928.16
A WIDER CIRCLE INC,20814,Housing and Community Affairs,25143.28
A WIDER CIRCLE INC,20814,Non-Departmental Accounts,69071.50
AAA COMPLETE BUILDING SERVICES INC,20007,General Services,507989.01
AAA COMPLETE BUILDING SERVICES INC,20007,Liquor Control,118272.72
AAA COMPLETE BUILDING SERVICES INC,20007,Non-Departmental Accounts,17752.00
AAA COMPLETE BUILDING SERVICES INC,20007,Not Defined,115458.74
AAA COMPLETE BUILDING SERVICES INC,20007,Technology Services,20185.96
AAA COMPLETE BUILDING SERVICES INC,20007,Transportation,16692.79
AAA COMPLETE BUILDING SERVICES INC,21297,General Services,76033.53
AAA COMPLETE BUILDING SERVICES INC,21297,Liquor Control,14385.48
AAA COMPLETE BUILDING SERVICES INC,21297,Non-Departmental Accounts,7280.00
AAA COMPLETE BUILDING SERVICES INC,21297,Not Defined,214842.11
AAA COMPLETE BUILDING SERVICES INC,21297,Transportation,33241.30
AARDVARK SWIM & SPORT INC,20151,Recreation,31509.65
AARONSON & AARONSON,20816,Liquor Control,124979.28
ABACUS N BYTES,20855,Environmental Protection,375.00
ABACUS N BYTES,20855,Fire and Rescue Service,562.10
ABACUS N BYTES,20855,Health and Human Services,24928.14
ABACUS N BYTES,20855,Housing and Community Affairs,674.60
ABACUS N BYTES,20855,Human Resources,3577.51
ABACUS N BYTES,20855,Police,1000.00
ABC SCHOLAR,20904,Health and Human Services,27620.00
ABERDEEN HOUSE II,20868,Health and Human Services,36495.36
ABERON FUND 1 LLC,84108,Not Defined,56023.17
ABILITIES NETWORK INC,21286,Health and Human Services,38047.49
AC CRANE & SIGN SERVICE INC,20832,Transportation,64002.00
ACS STATE & LOCAL SOLUTIONS INC,20866,Police,2410689.33
ACS STATE & LOCAL SOLUTIONS INC,75320,Police,2011648.18
ACS TRANSPORT SOLUTIONS INC,75284,Transportation,245747.01
ACS TRANSPORT SOLUTIONS INC,75320,Transportation,141620.45
ACTION TAXICAB INC,20855,Transportation,1116061.86
ADLER FELS WINERY LLC,95403,Liquor Control,27444.00
ADVANCED COMPUTER CONCEPTS,22102,Circuit Court,46567.14
ADVANCED COMPUTER CONCEPTS,22102,County Council,7859.00
ADVANCED COMPUTER CONCEPTS,22102,Fire and Rescue Service,5151.30
ADVANCED COMPUTER CONCEPTS,22102,General Services,48741.00
ADVANCED COMPUTER CONCEPTS,22102,Health and Human Services,339758.71
ADVANCED COMPUTER CONCEPTS,22102,Housing and Community Affairs,2700.00
ADVANCED COMPUTER CONCEPTS,22102,Liquor Control,14160.00
ADVANCED COMPUTER CONCEPTS,22102,Non-Departmental Accounts,163856.00
ADVANCED COMPUTER CONCEPTS,22102,Permitting Services,57675.00
ADVANCED COMPUTER CONCEPTS,22102,Police,21119.71
ADVANCED COMPUTER CONCEPTS,22102,Sheriff,1304.00
ADVANCED COMPUTER CONCEPTS,22102,Technology Services,1382424.52
ADVANCED COMPUTER CONCEPTS,22102,Transportation,560407.00
ADVANCED HOME SUPPORT INC,20852,Health and Human Services,210772.09
ADVANCED PUBLIC SAFETY,33441,Police,47340.36
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Emergency Management and Homeland Security,61910.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Finance,168348.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,General Services,126643.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Health and Human Services,724138.50
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Human Resources,144491.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Liquor Control,75072.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Non-Departmental Accounts,72237.15
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Police,387275.50
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Public Information,2840.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Technology Services,4074945.85
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Transportation,164505.00
ADVENTIST HEALTH CARE INC,20850,Correction and Rehabilitation,472911.05
ADVENTIST HEALTH CARE INC,20850,Health and Human Services,40684.00
ADVENTIST HEALTH CARE INC,20874,Correction and Rehabilitation,1346.06
ADVENTIST HEALTHCARE INC,20850,Correction and Rehabilitation,45829.22
ADVENTIST HEALTHCARE INC,20850,Health and Human Services,531498.18
AECOM SERVICES INC,60674,General Services,914985.82
AEON FINANCIAL LLC,60673,Not Defined,133467.37
AERC HAMPTON POINT INC,20904,Health and Human Services,19722.00
AERC HAMPTON POINT INC,20904,Housing and Community Affairs,16320.00
AETNA,06156,Human Resources,1097535.56
AETNA,06156,Non-Departmental Accounts,8929.49
AFFILIATED SANTE GROUP,20904,Health and Human Services,454726.50
AFRICAN IMMIGRANT AND REFUGEE FOUNDATION INC,20901,Health and Human Services,28156.71
AFRICAN IMMIGRANT AND REFUGEE FOUNDATION INC,20901,Non-Departmental Accounts,15025.78
AHC INC,22201,Housing and Community Affairs,81875.00
AIR SCHOTT,20041,Liquor Control,1233908.96
AIRECO SUPPLY INC,20763,General Services,2771.17
AIRECO SUPPLY INC,20763,Not Defined,40696.05
AIRECO SUPPLY INC,20763,Recreation,711.10
AIRECO SUPPLY INC,20763,Transportation,572.51
AIRGAS EAST INC,03079,Fire and Rescue Service,1846.62
AIRGAS EAST INC,03079,General Services,28033.53
AIRGAS EAST INC,03079,Not Defined,13898.11
AIRGAS EAST INC,19182,Fire and Rescue Service,19668.34
AIRPARK TOWING LLC,20877,Police,35632.00
AKJ TOWING,20850,Police,31796.00
ALAIN D CAPPELUTI,20878,Finance,46802.20
ALAN K BENNETT,20854,State's Attorney,50003.20
ALAN TYE & ASSOCIATES LC,22031,General Services,67439.73
